time,value
905,-9514.56
906,-9488.22
907,-9476.25
908,-9493.01
909,-9502.59
910,-9478.64
911,-9481.04
912,-9500.19
913,-9488.22
914,-9507.37
915,-9507.37
916,-9502.59
917,-9483.43
918,-9490.62
919,-9507.37
920,-9478.64
921,-9473.86
922,-9500.19
923,-9490.62
924,-9466.67
925,-9490.62
926,-9504.98
927,-9478.64
928,-9478.64
929,-9500.19
930,-9495.40
931,-9483.43
932,-9500.19
933,-9500.19
934,-9476.25
935,-9483.43
936,-9500.19
937,-9481.04
938,-9481.04
939,-9507.37
940,-9497.80
941,-9478.64
942,-9500.19
943,-9504.98
944,-9485.83
945,-9485.83
946,-9512.16
947,-9497.80
948,-9485.83
949,-9495.40
950,-9485.83
951,-9493.01
952,-9493.01
953,-9495.40
954,-9481.04
955,-9476.25
956,-9502.59
957,-9493.01
958,-9481.04
959,-9502.59
960,-9502.59
961,-9483.43
962,-9481.04
963,-9497.80
964,-9497.80
965,-9483.43
966,-9493.01
967,-9493.01
968,-9478.64
969,-9488.22
970,-9502.59
971,-9490.62
972,-9483.43
973,-9497.80
974,-9490.62
975,-9488.22
976,-9495.40
977,-9509.77
978,-9493.01
979,-9478.64
980,-9512.16
981,-9485.83
982,-9473.86
983,-9493.01
984,-9493.01
985,-9488.22
986,-9493.01
987,-9504.98
988,-9490.62
989,-9488.22
990,-9500.19
991,-9485.83
992,-9466.67
993,-9488.22
994,-9493.01
995,-9478.64
996,-9481.04
997,-9502.59
998,-9488.22
999,-9485.83
1000,-9507.37
1001,-9490.62
1002,-9488.22
1003,-9507.37
1004,-9509.77
1005,-9476.25
1006,-9495.40
1007,-9504.98
1008,-9476.25
1009,-9485.83
1010,-9497.80
1011,-9490.62
1012,-9481.04
1013,-9490.62
1014,-9485.83
1015,-9471.46
1016,-9495.40
1017,-9507.37
1018,-9481.04
1019,-9481.04
1020,-9504.98
1021,-9485.83
1022,-9478.64
1023,-9485.83
1024,-9490.62
1025,-9481.04
1026,-9500.19
1027,-9509.77
1028,-9483.43
1029,-9495.40
1030,-9516.95
1031,-9507.37
1032,-9481.04
1033,-9493.01
1034,-9512.16
1035,-9488.22
1036,-9483.43
1037,-9509.77
1038,-9500.19
1039,-9495.40
1040,-9495.40
1041,-9502.59
1042,-9490.62
1043,-9504.98
1044,-9512.16
1045,-9493.01
1046,-9495.40
1047,-9509.77
1048,-9493.01
1049,-9478.64
1050,-9497.80
1051,-9512.16
1052,-9488.22
1053,-9493.01
1054,-9504.98
1055,-9493.01
1056,-9481.04
1057,-9497.80
1058,-9495.40
1059,-9488.22
1060,-9493.01
1061,-9502.59
1062,-9481.04
1063,-9481.04
1064,-9507.37
1065,-9490.62
1066,-9481.04
1067,-9504.98
1068,-9497.80
1069,-9493.01
1070,-9497.80
1071,-9507.37
1072,-9473.86
1073,-9485.83
1074,-9507.37
1075,-9493.01
1076,-9476.25
1077,-9495.40
1078,-9500.19
1079,-9483.43
1080,-9493.01
1081,-9490.62
1082,-9490.62
1083,-9485.83
1084,-9512.16
1085,-9490.62
1086,-9476.25
1087,-9507.37
1088,-9502.59
1089,-9469.07
1090,-9495.40
1091,-9507.37
1092,-9476.25
1093,-9473.86
1094,-9507.37
1095,-9512.16
1096,-9483.43
1097,-9493.01
1098,-9507.37
