time,value
987,9.908679
988,9.944571
989,9.944571
990,9.894321
991,9.894321
992,9.844072
993,9.853643
994,9.908679
995,9.95175
996,9.949356
997,9.920643
998,9.875179
999,9.856036
1000,9.887143
1001,9.906285
1002,9.937392
1003,9.934999
1004,9.927821
1005,9.906285
1006,9.8727865
1007,9.877572
1008,9.915857
1009,9.937392
1010,9.9015
1011,9.927821
1012,9.915857
1013,9.906285
1014,9.923036
1015,9.932607
1016,9.923036
1017,9.899107
1018,9.88475
1019,9.879965
1020,9.894321
1021,9.925428
1022,9.934999
1023,9.915857
1024,9.9038925
1025,9.8727865
1026,9.868001
1027,9.875179
1028,9.920643
1029,9.949356
1030,9.937392
1031,9.913465
1032,9.894321
1033,9.8632145
1034,9.865608
1035,9.879965
1036,9.891929
1037,9.923036
1038,9.923036
1039,9.906285
1040,9.9015
1041,9.894321
1042,9.913465
1043,9.9038925
1044,9.9038925
1045,9.920643
1046,9.9038925
1047,9.887143
1048,9.899107
1049,9.899107
1050,9.891929
1051,9.877572
1052,9.88475
1053,9.88475
1054,9.894321
1055,9.927821
1056,9.932607
1057,9.915857
1058,9.915857
1059,9.9015
1060,9.8727865
1061,9.865608
1062,9.894321
1063,9.91825
1064,9.91825
1065,9.915857
1066,9.896714
1067,9.865608
1068,9.868001
1069,9.88475
1070,9.891929
1071,9.927821
1072,9.946963
1073,9.925428
1074,9.889536
1075,9.8727865
1076,9.891929
1077,9.889536
1078,9.906285
1079,9.927821
1080,9.923036
1081,9.896714
1082,9.88475
1083,9.891929
1084,9.906285
1085,9.91825
1086,9.9038925
1087,9.894321
1088,9.891929
1089,9.915857
1090,9.925428
1091,9.925428
1092,9.91825
1093,9.9015
1094,9.8727865
1095,9.887143
1096,9.915857
1097,9.927821
1098,9.949356
1099,9.932607
1100,9.9015
1101,9.860822
1102,9.870394
1103,9.911072
1104,9.942178
1105,9.956535
1106,9.942178
1107,9.899107
1108,9.8632145
1109,9.879965
1110,9.889536
1111,9.899107
1112,9.927821
1113,9.925428
1114,9.908679
1115,9.88475
1116,9.88475
1117,9.889536
1118,9.911072
1119,9.899107
1120,9.889536
1121,9.889536
1122,9.9015
1123,9.915857
1124,9.932607
1125,9.925428
1126,9.911072
1127,9.891929
1128,9.860822
1129,9.8727865
1130,9.91825
1131,9.934999
1132,9.939785
1133,9.915857
1134,9.896714
1135,9.858429
1136,9.891929
1137,9.923036
1138,9.930214
1139,9.946963
1140,9.927821
1141,9.896714
1142,9.88475
1143,9.896714
1144,9.906285
1145,9.9015
1146,9.925428
1147,9.911072
1148,9.9015
1149,9.9038925
1150,9.906285
1151,9.915857
1152,9.896714
1153,9.9015
1154,9.896714
1155,9.891929
1156,9.896714
1157,9.911072
1158,9.9015
1159,9.894321
1160,9.896714
1161,9.877572
1162,9.870394
1163,9.88475
1164,9.899107
1165,9.911072
1166,9.9038925
1167,9.911072
1168,9.896714
1169,9.879965
1170,9.896714
1171,9.908679
1172,9.913465
1173,9.920643
1174,9.908679
1175,9.889536
1176,9.877572
1177,9.889536
1178,9.896714
1179,9.9038925
1180,9.927821
1181,9.91825
1182,9.908679
1183,9.9038925
1184,9.9015
1185,9.896714
1186,9.9015
1187,9.908679
1188,9.906285
1189,9.894321
1190,9.889536
1191,9.915857
1192,9.896714
1193,9.908679
1194,9.915857
1195,9.899107
1196,9.896714
1197,9.896714
1198,9.891929
1199,9.911072
1200,9.932607
1201,9.925428
1202,9.908679
1203,9.891929
1204,9.9038925
1205,9.906285
1206,9.911072
1207,9.923036
1208,9.920643
1209,9.889536
1210,9.889536
1211,9.896714
1212,9.891929
1213,9.906285
1214,9.913465
1215,9.915857
1216,9.887143
1217,9.891929
1218,9.908679
1219,9.9038925
1220,9.913465
1221,9.934999
1222,9.908679
1223,9.887143
1224,9.8727865
1225,9.875179
1226,9.891929
1227,9.923036
1228,9.937392
1229,9.913465
1230,9.88475
1231,9.879965
1232,9.9015
1233,9.894321
1234,9.927821
1235,9.930214
1236,9.913465
1237,9.882358
1238,9.894321
1239,9.913465
1240,9.930214
1241,9.944571
1242,9.923036
1243,9.9015
1244,9.889536
1245,9.896714
1246,9.906285
1247,9.9015
1248,9.911072
1249,9.913465
1250,9.896714
1251,9.9015
1252,9.920643
1253,9.915857
1254,9.91825
1255,9.920643
1256,9.891929
1257,9.875179
1258,9.887143
1259,9.891929
1260,9.915857
1261,9.925428
1262,9.913465
1263,9.882358
1264,9.88475
1265,9.889536
1266,9.894321
1267,9.915857
1268,9.925428
1269,9.911072
1270,9.894321
1271,9.899107
1272,9.899107
1273,9.908679
1274,9.899107
1275,9.91825
1276,9.915857
1277,9.896714
1278,9.9038925
1279,9.91825
1280,9.923036
1281,9.913465
1282,9.9015
1283,9.889536
1284,9.887143
1285,9.896714
1286,9.908679
1287,9.911072
1288,9.911072
1289,9.915857
1290,9.875179
1291,9.877572
1292,9.9015
1293,9.908679
1294,9.896714
1295,9.911072
1296,9.920643
1297,9.887143
1298,9.877572
1299,9.894321
1300,9.9015
1301,9.908679
1302,9.930214
1303,9.91825
1304,9.894321
1305,9.894321
1306,9.9015
1307,9.9015
1308,9.9038925
1309,9.923036
1310,9.915857
1311,9.9015
1312,9.899107
1313,9.9038925
1314,9.894321
1315,9.9015
1316,9.925428
1317,9.906285
1318,9.887143
1319,9.9038925
1320,9.911072
1321,9.899107
1322,9.911072
1323,9.923036
1324,9.913465
1325,9.896714
1326,9.891929
1327,9.913465
1328,9.925428
1329,9.923036
1330,9.937392
1331,9.9038925
1332,9.870394
1333,9.887143
1334,9.911072
1335,9.9038925
1336,9.937392
1337,9.930214
1338,9.891929
1339,9.8727865
1340,9.877572
1341,9.887143
1342,9.896714
1343,9.911072
1344,9.91825
1345,9.899107
1346,9.88475
1347,9.889536
1348,9.894321
1349,9.906285
1350,9.923036
1351,9.911072
1352,9.896714
1353,9.906285
1354,9.9038925
1355,9.896714
1356,9.930214
1357,9.930214
1358,9.889536
1359,9.875179
1360,9.882358
1361,9.894321
1362,9.891929
1363,9.930214
1364,9.932607
1365,9.911072
1366,9.882358
1367,9.896714
1368,9.9015
1369,9.9038925
1370,9.932607
1371,9.920643
1372,9.877572
1373,9.875179
1374,9.889536
1375,9.891929
1376,9.899107
1377,9.91825
1378,9.927821
1379,9.899107
1380,9.887143
1381,9.8727865
1382,9.911072
1383,9.913465
1384,9.920643
1385,9.911072
1386,9.896714
1387,9.9015
1388,9.896714
1389,9.913465
1390,9.930214
1391,9.920643
1392,9.891929
1393,9.879965
1394,9.899107
1395,9.911072
1396,9.894321
1397,9.923036
1398,9.920643
1399,9.868001
1400,9.879965
1401,9.911072
1402,9.894321
1403,9.899107
1404,9.913465
1405,9.906285
1406,9.887143
1407,9.896714
1408,9.915857
